alle;et;to;tre;fire;fem;seks
1100132040400000002675;1100132040400000002675;;;;;
1100132040450000005298;1100132040450000005298;;;;;
1100132040490000000380;1100132040490000000380;;;;;
1100132040940000000023;1100132040940000000023;;;;;
1100132050270000000422;1100132050270000000422;;;;;
1100132050290000000363;1100132050290000000363;;;;;
1100132050450000000001;1100132050450000000001;;;;;
1100132999000000000619;1100132999000000000619;;;;;
110013299976-000001500;110013299976-000001500;;;;;
1100134040400000000009;1100134040400000000009;;;;;
1100134050400000000002;1100134050400000000002;;;;;
1100211010030000013234;1100211010030000013234;;;;;
110021101006-000000230;110021101006-000000230;;;;;
1100211010070000072774;1100211010070000072774;;;;;
1100211010090000000223;1100211010090000000223;;;;;
1100211010100007242808;1100211010100007242808;;;;;
1100211010220000003346;1100211010220000003346;;;;;
1100211010290000005268;1100211010290000005268;;;;;
1100211010400000226201;1100211010400000226201;;;;;
1100211010470000001006;1100211010470000001006;;;;;
1100211010480000000552;1100211010480000000552;;;;;
1100211010490000229185;1100211010490000229185;;;;;
1100211010520000000028;1100211010520000000028;;;;;
110021101072-000017884;110021101072-000017884;;;;;
110021101076-000002872;110021101076-000002872;;;;;
110021101079-000031927;110021101079-000031927;;;;;
110021101085-000000017;110021101085-000000017;;;;;
1100211010910000005711;1100211010910000005711;;;;;
1100211010940000038914;1100211010940000038914;;;;;
110021101097-000015857;110021101097-000015857;;;;;
1100211015100000000227;1100211015100000000227;;;;;
1100211015400000000360;1100211015400000000360;;;;;
1100211016100000000471;1100211016100000000471;;;;;
1100211016400000000001;1100211016400000000001;;;;;
1100211016490000000002;1100211016490000000002;;;;;
110021101677-000000062;110021101677-000000062;;;;;
110021101685-000000272;110021101685-000000272;;;;;
110021102010-000000602;110021102010-000000602;;;;;
1100211020220000000938;1100211020220000000938;;;;;
1100211020290000005585;1100211020290000005585;;;;;
1100211020400000055624;1100211020400000055624;;;;;
1100211020470000000025;1100211020470000000025;;;;;
1100211020480000000887;1100211020480000000887;;;;;
1100211020490000025325;1100211020490000025325;;;;;
110021102072-000003442;110021102072-000003442;;;;;
110021102079-000001582;110021102079-000001582;;;;;
1100211020920000000095;1100211020920000000095;;;;;
1100211020940000010255;1100211020940000010255;;;;;
1100211020970000000015;1100211020970000000015;;;;;
1100211030400000000324;1100211030400000000324;;;;;
1100211030490000000683;1100211030490000000683;;;;;
1100211030520000006171;1100211030520000006171;;;;;
1100211030940000005028;1100211030940000005028;;;;;
1100211110220000027766;1100211110220000027766;;;;;
1100211110230000000245;1100211110230000000245;;;;;
1100211110290000034456;1100211110290000034456;;;;;
1100211110400000179116;1100211110400000179116;;;;;
1100211110450000000001;1100211110450000000001;;;;;
1100211110470000000552;1100211110470000000552;;;;;
1100211110480000004592;1100211110480000004592;;;;;
1100211110490000091738;1100211110490000091738;;;;;
1100211110520000011734;1100211110520000011734;;;;;
110021111072-000021290;110021111072-000021290;;;;;
110021111079-000004701;110021111079-000004701;;;;;
1100211110910000000462;1100211110910000000462;;;;;
1100211110920000018035;1100211110920000018035;;;;;
1100211110940000066941;1100211110940000066941;;;;;
110021111097-000002917;110021111097-000002917;;;;;
1100211120290000007460;1100211120290000007460;;;;;
1100211120400000073291;1100211120400000073291;;;;;
1100211120490000000002;1100211120490000000002;;;;;
1100211120920000029451;1100211120920000029451;;;;;
1100211120940000000057;1100211120940000000057;;;;;
110021112097-000005492;110021112097-000005492;;;;;
1100211130290000000004;1100211130290000000004;;;;;
1100211140290000007490;1100211140290000007490;;;;;
1100211140400000000098;1100211140400000000098;;;;;
1100211140490000000068;1100211140490000000068;;;;;
1100211150400000015481;1100211150400000015481;;;;;
1100211150480000000055;1100211150480000000055;;;;;
1100211150490000000502;1100211150490000000502;;;;;
1100211220290000000006;1100211220290000000006;;;;;
1100211220400000000150;1100211220400000000150;;;;;
1100211220520000000085;1100211220520000000085;;;;;
110021131000-000001165;110021131000-000001165;;;;;
1100211310010000032068;1100211310010000032068;;;;;
110021131006-000001672;110021131006-000001672;;;;;
110021131008-000005578;110021131008-000005578;;;;;
1100211310270000003734;1100211310270000003734;;;;;
1100211310290000220549;1100211310290000220549;;;;;
1100211310400000002168;1100211310400000002168;;;;;
1100211310450000000731;1100211310450000000731;;;;;
1100211310490000007396;1100211310490000007396;;;;;
110021131072-000000089;110021131072-000000089;;;;;
110021131079-000000780;110021131079-000000780;;;;;
110021131092-000118007;110021131092-000118007;;;;;
1100211310940000000184;1100211310940000000184;;;;;
1100211320010000042451;1100211320010000042451;;;;;
110021132006-000000240;110021132006-000000240;;;;;
110021132008-000000233;110021132008-000000233;;;;;
1100211320230000001770;1100211320230000001770;;;;;
1100211320270000000051;1100211320270000000051;;;;;
1100211320290000004420;1100211320290000004420;;;;;
110021132040-000012170;110021132040-000012170;;;;;
1100211320450000008259;1100211320450000008259;;;;;
1100211320490000043358;1100211320490000043358;;;;;
110021132079-000000298;110021132079-000000298;;;;;
1100211320940000000566;1100211320940000000566;;;;;
110021141000-000030860;110021141000-000030860;;;;;
1100211410010000295756;1100211410010000295756;;;;;
110021141006-000000711;110021141006-000000711;;;;;
1100211410080000017110;1100211410080000017110;;;;;
1100211410230000000020;1100211410230000000020;;;;;
1100211410290000013814;1100211410290000013814;;;;;
1100211410400000114298;1100211410400000114298;;;;;
1100211410450000096268;1100211410450000096268;;;;;
1100211410470000000253;1100211410470000000253;;;;;
1100211410480000000049;1100211410480000000049;;;;;
1100211410490000222783;1100211410490000222783;;;;;
110021141071-000010536;110021141071-000010536;;;;;
110021141072-000000274;110021141072-000000274;;;;;
110021141079-000000901;110021141079-000000901;;;;;
1100211410920000000005;1100211410920000000005;;;;;
1100211410940000029810;1100211410940000029810;;;;;
110021141097-000002637;110021141097-000002637;;;;;
1100211420010000005770;1100211420010000005770;;;;;
1100211420050000000130;1100211420050000000130;;;;;
1100211420080000005770;1100211420080000005770;;;;;
1100211420230000066248;1100211420230000066248;;;;;
1100211420400000005428;1100211420400000005428;;;;;
1100211420460000000002;1100211420460000000002;;;;;
1100211420470000000020;1100211420470000000020;;;;;
1100211420480000000020;1100211420480000000020;;;;;
1100211420490000007857;1100211420490000007857;;;;;
110021142071-000000066;110021142071-000000066;;;;;
110021142072-000001081;110021142072-000001081;;;;;
110021142079-000001837;110021142079-000001837;;;;;
1100211420940000000855;1100211420940000000855;;;;;
110021142097-000000854;110021142097-000000854;;;;;
1100211710400000046560;1100211710400000046560;;;;;
1100211710460000000889;1100211710460000000889;;;;;
1100211710490000000799;1100211710490000000799;;;;;
1100211710590000000005;1100211710590000000005;;;;;
110021171079-000102809;110021171079-000102809;;;;;
1100211710910000000078;1100211710910000000078;;;;;
110021171094-000000012;110021171094-000000012;;;;;
1100211710970000000024;1100211710970000000024;;;;;
110021172079-000000515;110021172079-000000515;;;;;
1100211730940000173331;1100211730940000173331;;;;;
110021173097-000109406;110021173097-000109406;;;;;
1100211790010000000145;1100211790010000000145;;;;;
1100211790290000002656;1100211790290000002656;;;;;
110021179040-000001667;110021179040-000001667;;;;;
1100211790460000000155;1100211790460000000155;;;;;
1100211790470000000114;1100211790470000000114;;;;;
1100211790480000000516;1100211790480000000516;;;;;
1100211790490000002125;1100211790490000002125;;;;;
1100211790590000000025;1100211790590000000025;;;;;
110021179072-000028208;110021179072-000028208;;;;;
110021179076-000044976;110021179076-000044976;;;;;
110021179077-000000200;110021179077-000000200;;;;;
110021179078-000033284;110021179078-000033284;;;;;
110021179079-000040208;110021179079-000040208;;;;;
110021179091-000000350;110021179091-000000350;;;;;
1100211790920000021704;1100211790920000021704;;;;;
110021179094-000000006;110021179094-000000006;;;;;
110021179097-000009254;110021179097-000009254;;;;;
1100211810480000071751;1100211810480000071751;;;;;
110021181078-000195860;110021181078-000195860;;;;;
110021182079-000001414;110021182079-000001414;;;;;
1100211830470000003525;1100211830470000003525;;;;;
110021183077-000127605;110021183077-000127605;;;;;
1100211840460000000419;1100211840460000000419;;;;;
110021184076-000058585;110021184076-000058585;;;;;
1100212820400000002875;1100212820400000002875;;;;;
1100213010400000000002;1100213010400000000002;;;;;
1100213010480000000005;1100213010480000000005;;;;;
1100213020470000000018;1100213020470000000018;;;;;
1100213020480000000509;1100213020480000000509;;;;;
1100213110480000000154;1100213110480000000154;;;;;
1100213150480000000328;1100213150480000000328;;;;;
1100213810480000097111;1100213810480000097111;;;;;
110021381078-000010797;110021381078-000010797;;;;;
1100213830470000000248;1100213830470000000248;;;;;
110021383077-000041436;110021383077-000041436;;;;;
110021384046-000000201;110021384046-000000201;;;;;
110021384076-000026295;110021384076-000026295;;;;;
1100214010400000014510;1100214010400000014510;;;;;
1100214020400000000648;1100214020400000000648;;;;;
1100214110400000011336;1100214110400000011336;;;;;
1100214140400000000019;1100214140400000000019;;;;;
1100214150400000000039;1100214150400000000039;;;;;
1100214150480000000001;1100214150480000000001;;;;;
1100214790400000000004;1100214790400000000004;;;;;
1100214820400000015435;1100214820400000015435;;;;;
1100231010000000019539;1100231010000000019539;;;;;
110023101077-000000375;110023101077-000000375;;;;;
110023101086-000019164;110023101086-000019164;;;;;
1100231040000000154342;1100231040000000154342;;;;;
1100231040070000000035;1100231040070000000035;;;;;
1100231040100000001303;1100231040100000001303;;;;;
1100231040220000000013;1100231040220000000013;;;;;
1100231040230000000348;1100231040230000000348;;;;;
1100231040270000000514;1100231040270000000514;;;;;
1100231040290000001029;1100231040290000001029;;;;;
1100231040400000000089;1100231040400000000089;;;;;
1100231040450000029239;1100231040450000029239;;;;;
1100231040490000135817;1100231040490000135817;;;;;
110023104079-000004000;110023104079-000004000;;;;;
110023105000-000015909;110023105000-000015909;;;;;
1100231050220000000005;1100231050220000000005;;;;;
1100231050270000006637;1100231050270000006637;;;;;
1100231050290000000278;1100231050290000000278;;;;;
1100231050400000006891;1100231050400000006891;;;;;
1100231050450000000649;1100231050450000000649;;;;;
1100231050490000000560;1100231050490000000560;;;;;
120101001006-000000002;120101001006-000000002;;;;;
1201010010070000000119;1201010010070000000119;;;;;
1201010010100000005185;1201010010100000005185;;;;;
1201010010400000002249;1201010010400000002249;;;;;
1201010010520000000623;1201010010520000000623;;;;;
1201010010910000000064;1201010010910000000064;;;;;
1201010110010000000629;1201010110010000000629;;;;;
1201010110060000000014;1201010110060000000014;;;;;
1201010110070000000647;1201010110070000000647;;;;;
1201010110100000021901;1201010110100000021901;;;;;
1201010110220000000623;1201010110220000000623;;;;;
1201010110230000000004;1201010110230000000004;;;;;
1201010110290000017339;1201010110290000017339;;;;;
1201010110400000076394;1201010110400000076394;;;;;
1201010110450000000095;1201010110450000000095;;;;;
1201010110490000021777;1201010110490000021777;;;;;
1201010110520000967961;1201010110520000967961;;;;;
120101011071-000000089;120101011071-000000089;;;;;
120101011072-000002085;120101011072-000002085;;;;;
120101011076-000001007;120101011076-000001007;;;;;
120101011079-000065761;120101011079-000065761;;;;;
1201010110910000001185;1201010110910000001185;;;;;
1201010110940000003445;1201010110940000003445;;;;;
1201010420230000000178;1201010420230000000178;;;;;
120101084076-000000396;120101084076-000000396;;;;;
120101101007-000000367;120101101007-000000367;;;;;
1201011010100000181918;1201011010100000181918;;;;;
1201011010220000000028;1201011010220000000028;;;;;
1201011010290000000033;1201011010290000000033;;;;;
1201011010400000054703;1201011010400000054703;;;;;
1201011010490000002233;1201011010490000002233;;;;;
120101101079-000014125;120101101079-000014125;;;;;
1201011010910000000100;1201011010910000000100;;;;;
1201011010940000000286;1201011010940000000286;;;;;
120101101097-000010455;120101101097-000010455;;;;;
1201011016100000001444;1201011016100000001444;;;;;
1201011016490000000001;1201011016490000000001;;;;;
1201011020290000000007;1201011020290000000007;;;;;
1201011020400000001157;1201011020400000001157;;;;;
120101102045-000000005;120101102045-000000005;;;;;
1201011020490000000262;1201011020490000000262;;;;;
1201011110020000000001;1201011110020000000001;;;;;
1201011110220000000246;1201011110220000000246;;;;;
1201011110290000026718;1201011110290000026718;;;;;
1201011110400000139446;1201011110400000139446;;;;;
1201011110490000004655;1201011110490000004655;;;;;
1201011110520004052688;1201011110520004052688;;;;;
1201011110720000004411;1201011110720000004411;;;;;
120101111079-000014155;120101111079-000014155;;;;;
1201011110940000000014;1201011110940000000014;;;;;
1201011310010000000116;1201011310010000000116;;;;;
1201011310290000000775;1201011310290000000775;;;;;
1201011310400000000011;1201011310400000000011;;;;;
1201011310490000000029;1201011310490000000029;;;;;
120101131072-000000149;120101131072-000000149;;;;;
1201011320230000000025;1201011320230000000025;;;;;
1201011320290000000046;1201011320290000000046;;;;;
1201011320400000000296;1201011320400000000296;;;;;
1201011320450000000015;1201011320450000000015;;;;;
1201011320490000008963;1201011320490000008963;;;;;
1201011410010000001133;1201011410010000001133;;;;;
1201011410290000000024;1201011410290000000024;;;;;
1201011410400000001713;1201011410400000001713;;;;;
1201011410450000000213;1201011410450000000213;;;;;
1201011410490000001107;1201011410490000001107;;;;;
120101141071-000000709;120101141071-000000709;;;;;
1201011410790000000030;1201011410790000000030;;;;;
1201011410940000000035;1201011410940000000035;;;;;
1201011420230000000066;1201011420230000000066;;;;;
1201011420400000000020;1201011420400000000020;;;;;
1201011420490000000030;1201011420490000000030;;;;;
1201011710400000058460;1201011710400000058460;;;;;
1201011790010000000041;1201011790010000000041;;;;;
1201011790020000000013;1201011790020000000013;;;;;
1201011790290000022546;1201011790290000022546;;;;;
1201011790400000168921;1201011790400000168921;;;;;
1201011790490000000413;1201011790490000000413;;;;;
1201011790520003721986;1201011790520003721986;;;;;
120101179072-000000002;120101179072-000000002;;;;;
120101179079-000006599;120101179079-000006599;;;;;
1201011790940000000972;1201011790940000000972;;;;;
120101179097-000000362;120101179097-000000362;;;;;
120101383077-000000300;120101383077-000000300;;;;;
1201014010400000000020;1201014010400000000020;;;;;
1201014010490000000074;1201014010490000000074;;;;;
1201014020400000000001;1201014020400000000001;;;;;
1201014110490000000013;1201014110490000000013;;;;;
1201014310400000000005;1201014310400000000005;;;;;
1201014320290000000005;1201014320290000000005;;;;;
1201014320490000000021;1201014320490000000021;;;;;
120101441040-000000056;120101441040-000000056;;;;;
1201014410470000000004;1201014410470000000004;;;;;
1201014410490000000001;1201014410490000000001;;;;;
1201014420230000000008;1201014420230000000008;;;;;
1201014420290000000002;1201014420290000000002;;;;;
1201014790400000080322;1201014790400000080322;;;;;
1201014790490000000223;1201014790490000000223;;;;;
1201014790520000001796;1201014790520000001796;;;;;
120103099900-000000292;120103099900-000000292;;;;;
1201030999270000000292;1201030999270000000292;;;;;
1201110110220000000003;1201110110220000000003;;;;;
1201110110290000004472;1201110110290000004472;;;;;
1201110110400000001874;1201110110400000001874;;;;;
1201110110490000000188;1201110110490000000188;;;;;
1201110110520000295665;1201110110520000295665;;;;;
120111011079-000000029;120111011079-000000029;;;;;
1201111010100000031382;1201111010100000031382;;;;;
1201111010400000000286;1201111010400000000286;;;;;
1201111010490000000002;1201111010490000000002;;;;;
1201111110290000005471;1201111110290000005471;;;;;
1201111110400000019382;1201111110400000019382;;;;;
1201111110490000000144;1201111110490000000144;;;;;
1201111110520001228741;1201111110520001228741;;;;;
1201111310290000000055;1201111310290000000055;;;;;
1201111310400000000331;1201111310400000000331;;;;;
120111171040-000005005;120111171040-000005005;;;;;
1201111790290000004781;1201111790290000004781;;;;;
1201111790400000013964;1201111790400000013964;;;;;
1201111790520002116315;1201111790520002116315;;;;;
120111179079-000000014;120111179079-000000014;;;;;
1201210110400000000069;1201210110400000000069;;;;;
1201210110520000640818;1201210110520000640818;;;;;
1201210110920000012943;1201210110920000012943;;;;;
1201211110290000005369;1201211110290000005369;;;;;
1201211110400000000570;1201211110400000000570;;;;;
1201211110520002672215;1201211110520002672215;;;;;
1201211790520002609066;1201211790520002609066;;;;;
1201310010100000001049;1201310010100000001049;;;;;
120131011040-000000019;120131011040-000000019;;;;;
1201310110490000000046;1201310110490000000046;;;;;
1201310110520000147232;1201310110520000147232;;;;;
120131011079-000000819;120131011079-000000819;;;;;
1201310830470000000249;1201310830470000000249;;;;;
1201311010400000000002;1201311010400000000002;;;;;
1201311110400000003771;1201311110400000003771;;;;;
1201311110520000630259;1201311110520000630259;;;;;
120131111079-000003168;120131111079-000003168;;;;;
1201311320490000000001;1201311320490000000001;;;;;
1201311790400000000923;1201311790400000000923;;;;;
1201311790520000692442;1201311790520000692442;;;;;
1201410110220000000001;1201410110220000000001;;;;;
1201410110400000000629;1201410110400000000629;;;;;
1201410110520000176034;1201410110520000176034;;;;;
120141011077-000133115;120141011077-000133115;;;;;
1201411010070000000022;1201411010070000000022;;;;;
1201411010100000001020;1201411010100000001020;;;;;
1201411010400000000009;1201411010400000000009;;;;;
1201411110400000031867;1201411110400000031867;;;;;
1201411110490000002155;1201411110490000002155;;;;;
1201411110520000661977;1201411110520000661977;;;;;
120141111079-000212842;120141111079-000212842;;;;;
1201411320490000000020;1201411320490000000020;;;;;
120141171040-000000694;120141171040-000000694;;;;;
1201411790520000204045;1201411790520000204045;;;;;
120141179077-000293372;120141179077-000293372;;;;;
1201510110220000000001;1201510110220000000001;;;;;
1201510110400000000633;1201510110400000000633;;;;;
1201510110520000010976;1201510110520000010976;;;;;
120151011079-000000049;120151011079-000000049;;;;;
1201511010070000000009;1201511010070000000009;;;;;
1201511010100000000329;1201511010100000000329;;;;;
1201511110400000001966;1201511110400000001966;;;;;
1201511110490000000018;1201511110490000000018;;;;;
1201511110520000063309;1201511110520000063309;;;;;
1201511710400000000083;1201511710400000000083;;;;;
1201511790520000057033;1201511790520000057033;;;;;
120151179079-000000018;120151179079-000000018;;;;;
1201611790520000000002;1201611790520000000002;;;;;
1201711110400000001002;1201711110400000001002;;;;;
1201711790400000000642;1201711790400000000642;;;;;
1201711790520000000002;1201711790520000000002;;;;;
1201810110220000000001;1201810110220000000001;;;;;
1201810110290000000023;1201810110290000000023;;;;;
120181011040-000000001;120181011040-000000001;;;;;
1201810110490000000010;1201810110490000000010;;;;;
1201810110520000013291;1201810110520000013291;;;;;
1201811010100000000082;1201811010100000000082;;;;;
1201811110290000000039;1201811110290000000039;;;;;
1201811110520000056534;1201811110520000056534;;;;;
1201811710400000000231;1201811710400000000231;;;;;
1201811790290000000041;1201811790290000000041;;;;;
1201811790520000055328;1201811790520000055328;;;;;
1201910110220000000002;1201910110220000000002;;;;;
1201910110400000000611;1201910110400000000611;;;;;
1201910110520000027914;1201910110520000027914;;;;;
1201911110400000002746;1201911110400000002746;;;;;
1201911110520000109449;1201911110520000109449;;;;;
1201911320400000000185;1201911320400000000185;;;;;
1201911710400000000606;1201911710400000000606;;;;;
1201911790520000110159;1201911790520000110159;;;;;
1202010010070000000055;1202010010070000000055;;;;;
1202010010490000000001;1202010010490000000001;;;;;
1202010030400000000882;1202010030400000000882;;;;;
1202010110100000005628;1202010110100000005628;;;;;
1202010110220000000040;1202010110220000000040;;;;;
1202010110290000000226;1202010110290000000226;;;;;
1202010110400000007376;1202010110400000007376;;;;;
1202010110490000003046;1202010110490000003046;;;;;
120201011052-000000012;120201011052-000000012;;;;;
120201011072-000000366;120201011072-000000366;;;;;
120201011079-000000234;120201011079-000000234;;;;;
120201011091-000000010;120201011091-000000010;;;;;
1202010110940000000005;1202010110940000000005;;;;;
1202011010070000000022;1202011010070000000022;;;;;
1202011010100000000167;1202011010100000000167;;;;;
1202011010290000000002;1202011010290000000002;;;;;
1202011010400000000126;1202011010400000000126;;;;;
1202011010910000001292;1202011010910000001292;;;;;
1202011010940000000228;1202011010940000000228;;;;;
1202011020490000000051;1202011020490000000051;;;;;
1202011110290000004030;1202011110290000004030;;;;;
1202011110400000008670;1202011110400000008670;;;;;
1202011110490000026170;1202011110490000026170;;;;;
1202011110520000029347;1202011110520000029347;;;;;
120201111079-000028822;120201111079-000028822;;;;;
1202011110920000000513;1202011110920000000513;;;;;
1202011310010000000655;1202011310010000000655;;;;;
1202011310290000000567;1202011310290000000567;;;;;
1202011310400000000010;1202011310400000000010;;;;;
1202011310920000000180;1202011310920000000180;;;;;
1202011320400000003513;1202011320400000003513;;;;;
1202011320490000000102;1202011320490000000102;;;;;
1202011410490000000005;1202011410490000000005;;;;;
1202011410940000000150;1202011410940000000150;;;;;
1202011710400000003703;1202011710400000003703;;;;;
1202011790290000001095;1202011790290000001095;;;;;
1202011790400000011219;1202011790400000011219;;;;;
1202011790490000006513;1202011790490000006513;;;;;
1202011790520000011468;1202011790520000011468;;;;;
120201182072-000000237;120201182072-000000237;;;;;
1202013810780000000002;1202013810780000000002;;;;;
1202014110400000000003;1202014110400000000003;;;;;
1202110110290000022132;1202110110290000022132;;;;;
1202110110490000000012;1202110110490000000012;;;;;
120211011052-000000077;120211011052-000000077;;;;;
1202111110290000054125;1202111110290000054125;;;;;
1202111110520000035525;1202111110520000035525;;;;;
1202111790290000000008;1202111790290000000008;;;;;
1202111790490000000001;1202111790490000000001;;;;;
1202111790520000113219;1202111790520000113219;;;;;
1202210110520000005879;1202210110520000005879;;;;;
1202211110520000026686;1202211110520000026686;;;;;
1202211790520000030247;1202211790520000030247;;;;;
1202310110520000007259;1202310110520000007259;;;;;
1202311110520000031593;1202311110520000031593;;;;;
1202311790520000033130;1202311790520000033130;;;;;
1202410110290000002540;1202410110290000002540;;;;;
1202410110400000000007;1202410110400000000007;;;;;
1202410110490000000050;1202410110490000000050;;;;;
1202410110520000004725;1202410110520000004725;;;;;
120241084076-000011146;120241084076-000011146;;;;;
1202411110400000000003;1202411110400000000003;;;;;
1202411110520000085277;1202411110520000085277;;;;;
120241111079-000032629;120241111079-000032629;;;;;
1202411790290000002438;1202411790290000002438;;;;;
1202411790520000066769;1202411790520000066769;;;;;
120241179072-000042033;120241179072-000042033;;;;;
1202510820520000009394;1202510820520000009394;;;;;
1202510830470000000173;1202510830470000000173;;;;;
1202511110290000067254;1202511110290000067254;;;;;
1202511110400000002162;1202511110400000002162;;;;;
1202511110490000031619;1202511110490000031619;;;;;
1202511110520000096538;1202511110520000096538;;;;;
1202511790290000022606;1202511790290000022606;;;;;
1202511790400000008950;1202511790400000008950;;;;;
1202511790520000043410;1202511790520000043410;;;;;
1203010110400000000634;1203010110400000000634;;;;;
1203010110520000001819;1203010110520000001819;;;;;
120301101007-000000137;120301101007-000000137;;;;;
1203011010100000027774;1203011010100000027774;;;;;
1203011010220000000041;1203011010220000000041;;;;;
1203011010290000000025;1203011010290000000025;;;;;
1203011010400000001811;1203011010400000001811;;;;;
1203011010490000000020;1203011010490000000020;;;;;
120301102010-000000024;120301102010-000000024;;;;;
1203011020290000000037;1203011020290000000037;;;;;
1203011020400000000543;1203011020400000000543;;;;;
1203011020490000000403;1203011020490000000403;;;;;
120301102079-000000102;120301102079-000000102;;;;;
1203011030400000000045;1203011030400000000045;;;;;
1203011110220000000029;1203011110220000000029;;;;;
1203011110290000001832;1203011110290000001832;;;;;
1203011110400000003270;1203011110400000003270;;;;;
1203011110490000000746;1203011110490000000746;;;;;
120301111079-000000018;120301111079-000000018;;;;;
1203011110940000003846;1203011110940000003846;;;;;
1203011310010000000974;1203011310010000000974;;;;;
1203011310270000000062;1203011310270000000062;;;;;
1203011310290000000343;1203011310290000000343;;;;;
1203011310400000000047;1203011310400000000047;;;;;
1203011310450000000002;1203011310450000000002;;;;;
1203011310490000000094;1203011310490000000094;;;;;
1203011310920000000145;1203011310920000000145;;;;;
1203011310940000000028;1203011310940000000028;;;;;
1203011320230000000010;1203011320230000000010;;;;;
1203011320270000000002;1203011320270000000002;;;;;
1203011320290000000188;1203011320290000000188;;;;;
1203011320400000000108;1203011320400000000108;;;;;
1203011320450000000271;1203011320450000000271;;;;;
1203011320490000000762;1203011320490000000762;;;;;
120301132072-000000011;120301132072-000000011;;;;;
1203011410010000000114;1203011410010000000114;;;;;
1203011410290000000002;1203011410290000000002;;;;;
1203011410400000001018;1203011410400000001018;;;;;
1203011410450000000122;1203011410450000000122;;;;;
1203011410490000000312;1203011410490000000312;;;;;
1203011420400000000353;1203011420400000000353;;;;;
1203011420490000000064;1203011420490000000064;;;;;
1203011710400000002570;1203011710400000002570;;;;;
1203011710490000000001;1203011710490000000001;;;;;
1203011710590000004328;1203011710590000004328;;;;;
1203011730920000000002;1203011730920000000002;;;;;
120301173097-000000081;120301173097-000000081;;;;;
1203011790290000000195;1203011790290000000195;;;;;
1203011790400000020853;1203011790400000020853;;;;;
1203011790490000000104;1203011790490000000104;;;;;
120301179079-000004312;120301179079-000004312;;;;;
120301183077-000008840;120301183077-000008840;;;;;
120301383077-000015367;120301383077-000015367;;;;;
1203014010400000000002;1203014010400000000002;;;;;
1203014020400000000002;1203014020400000000002;;;;;
1503310010030000000087;1503310010030000000087;;;;;
1503310010060000000033;1503310010060000000033;;;;;
1503310010070000000197;1503310010070000000197;;;;;
1503310010100000030180;1503310010100000030180;;;;;
1503310010290000000001;1503310010290000000001;;;;;
1503310010400000000052;1503310010400000000052;;;;;
1503310010490000000001;1503310010490000000001;;;;;
150331001091-000000418;150331001091-000000418;;;;;
1503310020220000000003;1503310020220000000003;;;;;
1503310020400000000202;1503310020400000000202;;;;;
1503310020490000000086;1503310020490000000086;;;;;
1503310020940000000026;1503310020940000000026;;;;;
1503310110220000000094;1503310110220000000094;;;;;
1503310110290000000167;1503310110290000000167;;;;;
1503310110400000006314;1503310110400000006314;;;;;
1503310110490000001258;1503310110490000001258;;;;;
150331011079-000000220;150331011079-000000220;;;;;
1503310110920000000023;1503310110920000000023;;;;;
1503310110940000000008;1503310110940000000008;;;;;
1503310310290000000124;1503310310290000000124;;;;;
1503310320010000000048;1503310320010000000048;;;;;
1503310320290000000001;1503310320290000000001;;;;;
1503310320400000000003;1503310320400000000003;;;;;
1503310320490000000057;1503310320490000000057;;;;;
1503310320940000000013;1503310320940000000013;;;;;
1503310790290000000001;1503310790290000000001;;;;;
1503311010030000001184;1503311010030000001184;;;;;
150331101006-000000006;150331101006-000000006;;;;;
1503311010070000001017;1503311010070000001017;;;;;
1503311010100000537630;1503311010100000537630;;;;;
1503311010220000002481;1503311010220000002481;;;;;
1503311010290000000692;1503311010290000000692;;;;;
1503311010400000019781;1503311010400000019781;;;;;
1503311010470000000479;1503311010470000000479;;;;;
1503311010490000014090;1503311010490000014090;;;;;
150331101072-000012773;150331101072-000012773;;;;;
150331101079-000001513;150331101079-000001513;;;;;
1503311010910000005603;1503311010910000005603;;;;;
150331101094-000001636;150331101094-000001636;;;;;
150331101097-000008395;150331101097-000008395;;;;;
1503311016100000000037;1503311016100000000037;;;;;
1503311020220000001647;1503311020220000001647;;;;;
1503311020290000000486;1503311020290000000486;;;;;
1503311020400000007220;1503311020400000007220;;;;;
1503311020490000014318;1503311020490000014318;;;;;
150331102072-000001939;150331102072-000001939;;;;;
150331102079-000000034;150331102079-000000034;;;;;
1503311020940000000384;1503311020940000000384;;;;;
1503311030400000000108;1503311030400000000108;;;;;
1503311110220000003398;1503311110220000003398;;;;;
1503311110290000001915;1503311110290000001915;;;;;
1503311110400000089502;1503311110400000089502;;;;;
1503311110460000001729;1503311110460000001729;;;;;
1503311110480000000220;1503311110480000000220;;;;;
1503311110490000038121;1503311110490000038121;;;;;
1503311110520000000776;1503311110520000000776;;;;;
150331111072-000002585;150331111072-000002585;;;;;
1503311110780000000040;1503311110780000000040;;;;;
150331111079-000017490;150331111079-000017490;;;;;
1503311110920000000003;1503311110920000000003;;;;;
1503311110940000001162;1503311110940000001162;;;;;
150331111097-000001799;150331111097-000001799;;;;;
1503311310010000000523;1503311310010000000523;;;;;
1503311310080000000331;1503311310080000000331;;;;;
1503311310270000000111;1503311310270000000111;;;;;
1503311310290000014663;1503311310290000014663;;;;;
1503311310400000011313;1503311310400000011313;;;;;
1503311310490000000024;1503311310490000000024;;;;;
1503311310920000000142;1503311310920000000142;;;;;
1503311310940000000015;1503311310940000000015;;;;;
