alle;et;to;tre;fire;fem;seks
1100110790940000000638;1100110790940000000638;210011079089-000000423;350401131000-000000265;4201210020290000000131;;6515390906600000782245
110011079097-000000534;110011079097-000000534;2100110790940000006448;3504011310010000000302;4201210020400000001303;;651539190360-000609398
1100110810480000021586;1100110810480000021586;210011083077-000715464;3504011310290000003723;4201210020490000004372;;651539190381-000291816
110011081078-000128120;110011081078-000128120;210011084076-000032649;3504011310400000000573;420121002072-000000030;;6515391906600000617366
1100110830470000057991;1100110830470000057991;2100111010030000004881;3504011310490000000069;420121002079-000000174;;6515391906810000075865
110011083077-000052738;110011083077-000052738;2100111010050000000310;350401131079-000000155;4201210020920000000008;;652549179081-000108709
1100110840460000003838;1100110840460000003838;2100111010070000021579;3504011310920000000176;4201210020940000000156;;652549279081-000000060
110011084076-000008674;110011084076-000008674;2100111010100002480964;3504011320010000000109;420121002097-000002629;;652559079009-000907278
1100111010030000138562;1100111010030000138562;2100111010220000001329;3504011320230000000225;4201210110100000002960;;652559079060-000103380
110011101005-000003609;110011101005-000003609;2100111010290000017604;3504011320290000000266;4201210110220000000377;;6525591001090000534166
110011101006-000275623;110011101006-000275623;2100111010400000042423;3504011320400000002398;4201210110290000000360;;652559100181-000054873
1100111010070000141730;1100111010070000141730;2100111010490000068309;3504011320450000000392;4201210110400000014382;;6525591790090000763909
1100111010100047327130;1100111010100047327130;210011101072-000004962;350401132048-000000155;4201210110490000008467;;652559179060-000074161
1100111010220000018294;1100111010220000018294;210011101079-000001836;3504011320490000003995;420121011079-000009372;;652569079060-001546277
1100111010290000062415;1100111010290000062415;2100111010910000017915;3504011320920000000006;420121011092-000000072;;6525691790600000387140
1100111010400000756178;1100111010400000756178;2100111010940000028270;3504011320940000000261;4201210110940000000213;;652569179081-000210453
1100111010470000000973;1100111010470000000973;210011101097-000021860;3504011410290000000047;420121011097-000000415;;6525692790600000000003
1100111010480000000224;1100111010480000000224;2100111016070000000032;3504011410400000000569;4201210310290000000711;;652569279081-000000179
1100111010490001083639;1100111010490001083639;2100111016100000002600;3504011410450000001663;4201210310490000000043;;652579079060-000011191
1100111010510000075576;1100111010510000075576;2100111020220000001103;3504011410470000000039;4201210320010000004253;;652579179081-000008409
1100111010520000000142;1100111010520000000142;2100111020290000001027;3504011410490000001447;4201210320290000000013;;6525990790090000000600
1100111010590000000020;1100111010590000000020;2100111020400000009645;3504011420230000003009;4201210320400000000071;;652599079040-000000109
110011101072-000107999;110011101072-000107999;2100111020490000014958;3504011420400000000286;4201210320450000000145;;6525990790600000387549
110011101076-000013053;110011101076-000013053;210011102072-000008195;3504011420490000001547;4201210320490000001386;;652599079076-000012457
